Registrikood;Nimi;Tööjõumaksud Ja Maksed;Tootajaid;YearQ
70000941;KULTUURIMINISTEERIUM;1191831;88;18i
10622346;USS SECURITY EESTI AS;1186356;1063;18iii
10054238;OG ELEKTRA AS;1186106;1434;18iv
75021250;VIIMSI VALLAVALITSUS;1185483;185;18ii
12214574;FORTACO ESTONIA OÜ;1179558;525;18iv
10137319;TALLINNA SADAM AS;1177721;345;18ii
10093971;COOP EESTI KESKÜHISTU;1177002;613;18i
74000033;RAHVUSOOPER ESTONIA;1176953;691;18i
70008144;VIRU VANGLA;1174428;409;18iii
10239452;AKTSIASELTS FUJITSU ESTONIA;1174252;394;18iv
10054238;OG ELEKTRA AS;1173825;1445;18ii
10419987;SOL BALTICS OÜ;1170894;1733;18i
70001113;TALLINNA VANGLA;1167798;494;18ii
75021250;VIIMSI VALLAVALITSUS;1166038;177;18iv
10788733;RIIGI KINNISVARA AS;1160572;248;18ii
10180925;CIRCLE K EESTI AKTSIASELTS;1159819;757;18i
70000941;KULTUURIMINISTEERIUM;1157024;82;18iv
10341618;LENNULIIKLUSTEENINDUSE AS;1156349;209;18iii
70000941;KULTUURIMINISTEERIUM;1155179;84;18ii
11267031;ORKLA EESTI AS;1154750;630;18iii
11045112;ENICS EESTI AS;1151151;702;18i
10349560;TALLINNA LENNUJAAM AS;1150738;388;18iii
10341618;LENNULIIKLUSTEENINDUSE AS;1149792;214;18iv
11516178;FINESTA BALTIC OÜ;1149613;852;18i
10239452;AKTSIASELTS FUJITSU ESTONIA;1148904;390;18iii
70000941;KULTUURIMINISTEERIUM;1148553;85;18iii
10636638;BAUHOF GROUP AS;1148278;434;18iii
10069046;TELE2 EESTI AS;1145491;321;18iii
10622346;USS SECURITY EESTI AS;1145098;1033;18iv
90007141;TARTU KIIRABI SIHTASUTUS;1144913;465;18iii
10165452;AKTSIASELTS STOKKER;1140220;295;18iii
10282927;HARMET OÜ;1136092;507;18i
70001113;TALLINNA VANGLA;1132644;503;18iii
10419987;SOL BALTICS OÜ;1131981;1680;18iv
10419987;SOL BALTICS OÜ;1130893;1713;18ii
70008144;VIRU VANGLA;1130370;397;18ii
10539549;LHV PANK AS;1122190;295;18i
70001113;TALLINNA VANGLA;1121348;489;18iv
75025064;RAKVERE LINNAVALITSUS;1120424;78;18iii
10449400;LTH-BAAS AS;1118308;483;18iv
90003217;NARVA HAIGLA SIHTASUTUS;1116841;706;18i
10136870;OLEREX AS;1111796;654;18iv
11267031;ORKLA EESTI AS;1109992;514;18iv
11516178;FINESTA BALTIC OÜ;1107206;799;18iii
10349560;TALLINNA LENNUJAAM AS;1106047;396;18iv
12214574;FORTACO ESTONIA OÜ;1104660;541;18ii
10011039;OLYMPIC CASINO EESTI AS;1098503;510;18ii
90003217;NARVA HAIGLA SIHTASUTUS;1097283;696;18iv
70008144;VIRU VANGLA;1096237;399;18iv
75001017;KOHTLA-JÄRVE LINNAVALITSUS;1094006;94;18i
10341618;LENNULIIKLUSTEENINDUSE AS;1092489;207;18i
10011039;OLYMPIC CASINO EESTI AS;1091305;503;18iii
90003217;NARVA HAIGLA SIHTASUTUS;1090987;710;18ii
11516178;FINESTA BALTIC OÜ;1089694;840;18ii
